20,15:414,454,493,532,572,611|1189,1228,1267,1307,1346,1384
20,30:267,307,347,386,426,466|676,715,754,794,833,873
20,60:458,499,540,581,622,663|908,948,990,1030,1071,1112
100,15:319,358,398,438,477|754,794,834,874,913,
100,30:268,308,347,387,427,467|631,671,711,751,792,
100,60:302,344,385,426,467,508|981,1022,1063,1105,1146,1187
200,15:336,376,415,455,494,534|728,767,807,847,886,926
200,30:486,525,565,605,645,685|985,1025,1065,1105,1146,1186
200,60:916,958,999,1040,1081,1122|1372,1413,1454,1495,1536,1577
500,30:235,276,316,357,398,438|601,641,682,723,764,805
500,15:246,287,327,368,408,448|597,638,678,718,759,799
500,60:330,372,414,456,498,540|804,846,889,931,974,1016